Year,State,Yes,No,Category,Condition,Location 1
2008,Florida,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
1995,Idaho,83.10%,16.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
2003,Tennessee,87.40%,12.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Tennessee
(35.68094058000048, -85.77449091399967)"
1999,Kentucky,82.70%,17.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kentucky
(37.645970271000465, -84.77497104799966)"
2000,North Carolina,84.90%,15.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Carolina
(35.466220975000454, -79.15925046299964)"
2001,Rhode Island,91.40%,8.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
1995,Nevada,86.90%,13.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
1996,New Jersey,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
2009,Minnesota,92%,8%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
1997,Oregon,87.50%,12.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oregon
(44.56744942400047, -120.15503132599969)"
2006,Texas,74.80%,25.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
2002,Mississippi,77.30%,22.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2008,Georgia,81.70%,18.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Georgia
(32.83968109300048, -83.62758034599966)"
1995,Oregon,87%,13%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oregon
(44.56744942400047, -120.15503132599969)"
2001,Maine,87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
2004,Iowa,89.40%,10.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Iowa
(42.46940091300047, -93.81649055599968)"
2008,Ohio,87.70%,12.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
2002,Montana,82.20%,17.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
2004,Indiana,85.10%,14.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
2008,South Dakota,85%,15%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Dakota
(44.353130053000484, -100.3735306369997)"
1997,Ohio,89.50%,10.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
2009,Florida,76.50%,23.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Florida
(28.932040377000476, -81.92896053899966)"
2008,Georgia,84%,16%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Georgia
(32.83968109300048, -83.62758034599966)"
1997,Texas,75.80%,24.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
1999,Rhode Island,89.40%,10.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
1999,Arkansas,83.90%,16.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
1995,Texas,82.70%,17.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
2010,Mississippi,74.20%,25.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Mississippi
(32.745510099000455, -89.53803082499968)"
2003,West Virginia,76.50%,23.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"West Virginia
(38.66551020200046, -80.71264013499967)"
2000,Kansas,87.10%,12.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
2004,Nebraska,84.80%,15.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
2009,Louisiana,80.50%,19.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Louisiana
(31.31266064400046, -92.44568007099969)"
2000,Tennessee,86.80%,13.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Tennessee
(35.68094058000048, -85.77449091399967)"
2009,North Carolina,78.40%,21.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Carolina
(35.466220975000454, -79.15925046299964)"
2001,North Dakota,88.30%,11.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2006,Alaska,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alaska
(64.84507995700051, -147.72205903599973)"
2003,Iowa,88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Iowa
(42.46940091300047, -93.81649055599968)"
2009,Michigan,83.80%,16.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
1996,West Virginia,82.30%,17.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"West Virginia
(38.66551020200046, -80.71264013499967)"
2007,Idaho,81.10%,18.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Idaho
(43.682630005000476, -114.3637300419997)"
1995,Alaska,83.60%,16.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
2009,Connecticut,88.90%,11.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
1998,Pennsylvania,87.10%,12.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2002,Delaware,91.20%,8.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Delaware
(39.008830667000495, -75.57774116799965)"
2003,Washington,85.60%,14.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
2001,California,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
2010,Rhode Island,87.70%,12.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2001,Washington,90.30%,9.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Washington
(47.52227862900048, -120.47001078999972)"
1995,Hawaii,94.30%,5.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
1997,Nevada,83.30%,16.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
2000,Arkansas,79.10%,20.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arkansas
(34.74865012400045, -92.27449074299966)"
2004,Minnesota,90.80%,9.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Minnesota
(46.35564873600049, -94.79420050299967)"
2010,North Dakota,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2007,Texas,70.70%,29.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Texas
(31.827240407000488, -99.42677020599967)"
2007,Kentucky,84.10%,15.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
2003,Kentucky,82.90%,17.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
2001,Nevada,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
1999,Vermont,85.20%,14.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
1999,Louisiana,74.20%,25.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
1997,Montana,82.10%,17.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Montana
(47.06652897200047, -109.42442064499971)"
2005,Illinois,85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
2000,Missouri,88.80%,11.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
2007,Connecticut,89%,11%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
1995,Kansas,86.60%,13.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
2004,Idaho,81.50%,18.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
2008,Maine,88.70%,11.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
2001,Alabama,85%,15%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Alabama
(32.84057112200048, -86.63186076199969)"
2008,Michigan,86.20%,13.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
1997,Louisiana,79.60%,20.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Louisiana
(31.31266064400046, -92.44568007099969)"
2009,Texas,70.90%,29.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Texas
(31.827240407000488, -99.42677020599967)"
1995,Arkansas,84.60%,15.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arkansas
(34.74865012400045, -92.27449074299966)"
2010,New Jersey,88.50%,11.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
2001,South Carolina,83.60%,16.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Carolina
(33.998821303000454, -81.04537120699968)"
2003,Nevada,79.50%,20.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Nevada
(39.493240390000494, -117.07184056399967)"
1996,Missouri,87.10%,12.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Missouri
(38.635790776000476, -92.56630005299968)"
1999,Nevada,78.80%,21.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
1996,Oklahoma,81.50%,18.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
2003,Hawaii,91.80%,8.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
1998,Kansas,89.20%,10.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
1998,Florida,82.40%,17.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
1996,South Carolina,83.70%,16.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Carolina
(33.998821303000454, -81.04537120699968)"
2003,Nebraska,86.20%,13.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nebraska
(41.6410409880005, -99.36572062299967)"
1998,North Dakota,89.70%,10.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2010,Illinois,86.90%,13.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
1996,Wisconsin,90.70%,9.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
2008,Utah,85.40%,14.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Utah
(39.360700171000474, -111.58713063499971)"
2000,Utah,87.20%,12.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Utah
(39.360700171000474, -111.58713063499971)"
2003,Washington,83.10%,16.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Washington
(47.52227862900048, -120.47001078999972)"
2003,Kansas,84.30%,15.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
1995,South Dakota,91%,9%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
2005,Washington,82.90%,17.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Washington
(47.52227862900048, -120.47001078999972)"
1998,District of Columbia,87%,13%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"District of Columbia
(38.89037138500049, -77.03196112699965)"
2003,Connecticut,87.50%,12.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
2009,Montana,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
2008,Alaska,81.20%,18.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
1997,Colorado,88.10%,11.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Colorado
(38.843840757000464, -106.13361092099967)"
2004,Nevada,74.60%,25.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
1995,Illinois,88.80%,11.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
2007,Missouri,83.90%,16.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Missouri
(38.635790776000476, -92.56630005299968)"
2005,Massachusetts,89.70%,10.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
1999,California,80.70%,19.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
1998,Louisiana,74.10%,25.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
2008,Montana,82.70%,17.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
2006,Iowa,87.30%,12.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Iowa
(42.46940091300047, -93.81649055599968)"
2000,South Carolina,85.50%,14.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Carolina
(33.998821303000454, -81.04537120699968)"
2007,Texas,74.30%,25.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
1995,Oklahoma,81.90%,18.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oklahoma
(35.47203135600046, -97.52107021399968)"
2006,Idaho,77.80%,22.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
2001,Virginia,89.10%,10.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
2007,Indiana,85.80%,14.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
1995,Kansas,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
2006,New Hampshire,86.70%,13.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2009,New Hampshire,88.90%,11.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Hampshire
(43.65595011300047, -71.50036091999965)"
2005,District of Columbia,88.80%,11.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"District of Columbia
(38.89037138500049, -77.03196112699965)"
1999,Idaho,80%,20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Idaho
(43.682630005000476, -114.3637300419997)"
2006,Illinois,84.90%,15.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Illinois
(40.48501028300046, -88.99771017799969)"
2001,Hawaii,92.70%,7.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Hawaii
(21.304850435000446, -157.85774940299973)"
2004,New Jersey,85.60%,14.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
2003,Pennsylvania,86.90%,13.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2002,Florida,82%,18%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Florida
(28.932040377000476, -81.92896053899966)"
2001,New York,83.70%,16.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New York
(42.82700103200045, -75.54397042699964)"
2003,South Dakota,88.30%,11.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"South Dakota
(44.353130053000484, -100.3735306369997)"
2006,New Mexico,74.40%,25.60%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"New Mexico
(34.52088095200048, -106.24058098499967)"
1999,Kansas,87.50%,12.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Kansas
(38.34774030000045, -98.20078122699965)"
1996,Louisiana,73.70%,26.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Louisiana
(31.31266064400046, -92.44568007099969)"
1998,Wyoming,79.80%,20.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wyoming
(43.23554134300048, -108.10983035299967)"
2001,Oklahoma,79.20%,20.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
2008,New Jersey,86.20%,13.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Jersey
(40.13057004800049, -74.27369128799967)"
2004,Connecticut,88.70%,11.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
2000,New York,86.90%,13.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New York
(42.82700103200045, -75.54397042699964)"
2001,Wyoming,83.30%,16.70%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wyoming
(43.23554134300048, -108.10983035299967)"
2007,North Dakota,85.90%,14.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
1996,Massachusetts,89.80%,10.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
2008,Virginia,89.50%,10.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
2005,Oklahoma,75.20%,24.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Oklahoma
(35.47203135600046, -97.52107021399968)"
1997,Connecticut,89.20%,10.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Connecticut
(41.56266102000046, -72.64984095199964)"
2006,Minnesota,90.30%,9.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Minnesota
(46.35564873600049, -94.79420050299967)"
2010,Georgia,81.30%,18.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Georgia
(32.83968109300048, -83.62758034599966)"
2010,West Virginia,78.60%,21.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"West Virginia
(38.66551020200046, -80.71264013499967)"
2007,Ohio,88.20%,11.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Ohio
(40.06021014100048, -82.40426005599966)"
2010,Louisiana,79.20%,20.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Louisiana
(31.31266064400046, -92.44568007099969)"
2002,New Mexico,78.70%,21.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"New Mexico
(34.52088095200048, -106.24058098499967)"
1995,Iowa,90.80%,9.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Iowa
(42.46940091300047, -93.81649055599968)"
2000,Alaska,80.90%,19.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
2005,Michigan,87.40%,12.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Michigan
(44.6613195430005, -84.71439026999968)"
2007,Vermont,88.80%,11.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
2009,Indiana,82.90%,17.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
2009,Minnesota,90.70%,9.30%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Minnesota
(46.35564873600049, -94.79420050299967)"
1997,California,80.70%,19.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
1998,Michigan,88.10%,11.90%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Michigan
(44.6613195430005, -84.71439026999968)"
1996,Montana,80.80%,19.20%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Montana
(47.06652897200047, -109.42442064499971)"
2000,Iowa,91.10%,8.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Iowa
(42.46940091300047, -93.81649055599968)"
1998,Pennsylvania,89.20%,10.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
1997,Rhode Island,86.90%,13.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Rhode Island
(41.70828019300046, -71.52247031399963)"
2007,Wisconsin,90.20%,9.80%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Wisconsin
(44.39319117400049, -89.81637074199966)"
1999,Virginia,90%,10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
1996,Maine,85.80%,14.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
2003,North Dakota,88.50%,11.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"North Dakota
(47.47531977900047, -100.11842104899966)"
2006,Virginia,89.70%,10.30%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Virginia
(37.54268067400045, -78.45789046299967)"
1996,South Dakota,87.30%,12.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"South Dakota
(44.353130053000484, -100.3735306369997)"
1998,Arizona,84.20%,15.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Arizona
(34.865970280000454, -111.76381127699972)"
2008,Pennsylvania,88.50%,11.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2005,Maryland,87.30%,12.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
2009,Wisconsin,87.90%,12.10%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Wisconsin
(44.39319117400049, -89.81637074199966)"
1995,Delaware,86.60%,13.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Delaware
(39.008830667000495, -75.57774116799965)"
2000,Arizona,82.90%,17.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Arizona
(34.865970280000454, -111.76381127699972)"
1999,Massachusetts,92.80%,7.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Massachusetts
(42.27687047000046, -72.08269067499964)"
2003,District of Columbia,89%,11%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"District of Columbia
(38.89037138500049, -77.03196112699965)"
2004,District of Columbia,89%,11%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"District of Columbia
(38.89037138500049, -77.03196112699965)"
2006,Maine,87.60%,12.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maine
(45.254228894000505, -68.98503133599962)"
2002,Vermont,88.40%,11.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Vermont
(43.62538123900049, -72.51764079099962)"
2009,Kentucky,84.40%,15.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kentucky
(37.645970271000465, -84.77497104799966)"
2001,Montana,83.10%,16.90%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Montana
(47.06652897200047, -109.42442064499971)"
2004,Mississippi,79.80%,20.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Mississippi
(32.745510099000455, -89.53803082499968)"
2002,Pennsylvania,89.60%,10.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Pennsylvania
(40.79373015200048, -77.86070029399963)"
2000,Indiana,89.60%,10.40%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Indiana
(39.766910452000445, -86.14996019399968)"
2007,Oklahoma,79.90%,20.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Oklahoma
(35.47203135600046, -97.52107021399968)"
1999,Maine,86.80%,13.20%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Maine
(45.254228894000505, -68.98503133599962)"
2003,Vermont,88.20%,11.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Vermont
(43.62538123900049, -72.51764079099962)"
1998,Alaska,78.20%,21.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Alaska
(64.84507995700051, -147.72205903599973)"
1997,North Dakota,85.60%,14.40%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"North Dakota
(47.47531977900047, -100.11842104899966)"
2001,Minnesota,94.50%,5.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Minnesota
(46.35564873600049, -94.79420050299967)"
1998,Maryland,84.30%,15.70%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Maryland
(39.29058096400047, -76.60926011099963)"
2003,Kansas,86.90%,13.10%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Kansas
(38.34774030000045, -98.20078122699965)"
2003,Nevada,76.20%,23.80%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Nevada
(39.493240390000494, -117.07184056399967)"
2006,California,82.50%,17.50%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"California
(37.63864012300047, -120.99999953799971)"
2003,Mississippi,77.50%,22.50%,Health Care Access/Coverage,Adults aged 18-64 who have any kind of health care coverage,"Mississippi
(32.745510099000455, -89.53803082499968)"
1998,Texas,76.40%,23.60%,Health Care Access/Coverage,Do you have any kind of health care coverage?,"Texas
(31.827240407000488, -99.42677020599967)"
